Date,Consumption,Wind,Solar,WindSolar,Year,Month,Weekday 
							
2012-02-01,1511.866,199.607,43.502,243.109,2012,2,Wednesday
2012-02-02,1563.407,73.469,44.675,118.144,2012,2,Thursday
2012-02-03,1563.631,36.352,46.510,82.862,2012,2,Friday
2012-02-04,1372.614,20.551,45.225,65.776,2012,2,Saturday
2012-02-05,1279.432,55.522,54.572,110.094,2012,2,Sunday
2012-02-06,1574.766,34.896,55.389,90.285,2012,2,Monday
2012-02-07,1615.078,100.312,19.867,120.179,2012,2,Tuesday
2012-02-08,1613.774,93.763,36.930,130.693,2012,2,Wednesday
2012-02-09,1591.532,132.219,19.042,151.261,2012,2,Thursday
2012-02-10,1581.287,52.122,34.873,86.995,2012,2,Friday
2012-02-11,1377.404,32.375,44.629,77.004,2012,2,Saturday
2012-02-12,1264.254,62.659,45.176,107.835,2012,2,Sunday
2012-02-13,1561.987,25.984,11.287,37.271,2012,2,Monday
2012-02-14,1550.366,146.495,9.610,156.105,2012,2,Tuesday
2012-02-15,1476.037,413.367,18.877,432.244,2012,2,Wednesday
2012-02-16,1504.119,130.247,38.176,168.423,2012,2,Thursday
2012-02-17,1438.857,196.515,17.328,213.843,2012,2,Friday
2012-02-18,1236.069,237.889,26.248,264.137,2012,2,Saturday
2012-02-19,1107.431,272.655,30.382,303.037,2012,2,Sunday
2012-02-20,1401.873,160.315,53.794,214.109,2012,2,Monday
2012-02-21,1434.533,281.909,57.984,339.893,2012,2,Tuesday
2012-02-22,1453.507,287.635,74.904,362.539,2012,2,Wednesday
2012-02-23,1427.402,353.510,18.927,372.437,2012,2,Thursday
2012-02-24,1373.800,382.777,29.281,412.058,2012,2,Friday
2012-02-25,1133.184,302.102,42.667,344.769,2012,2,Saturday
2012-02-26,1086.743,95.234,37.214,132.448,2012,2,Sunday
2012-02-27,1436.095,86.956,43.099,130.055,2012,2,Monday
2012-02-28,1408.211,231.923,16.190,248.113,2012,2,Tuesday
2012-02-29,1434.062,77.024,30.360,107.384,2012,2,Wednesday
